grade_id,enrollment_id,course_id,term_id,score,letter_grade
G00088,E0030,CRS04,T01,110,C
G00459,E0166,CRS05,T08,69.2,D
G00331,E0117,CRS02,T05,84.6,B
G00215,E0077,CRS10,T02,86.2,B
G00467,E0169,CRS04,T07,80.2,B
G00122,E0041,CRS05,T02,70.2,C
G00615,E0223,CRS14,T09,80.2,B
G00021,E0007,CRS03,T02,79.1,C
G00072,E0024,CRS06,T02,71.8,C
G00107,E0036,CRS05,T02,89.0,B
G00271,E0097,CRS15,T04,87.8,b
G00436,E0155,CRS12,T05,,W
G00103,E0035,CRS04,T01,69.9,D
