enrollment_id,student_id,cohort_id,enroll_date,status,withdraw_date,withdraw_reason
E9002,999902,C04,2024-01-16,Completed,,
E0183,100172,C10,2025-09-02,Completed,,
E0007,100007,C01,2023-08-27,Completed,,
E0028,100028,C02,2023-09-07,Completed,,
E0144,100136,C07,2024-09-03,Completed,,
E0005,100005,C01,2023-08-28,completed,,
E0123,100014,C06,09/04/2024,Completed,,
E0033,100033,C02,09/04/2023,Completed,,
E0182,100171,C10,08/26/2025,Withdrawn,2026-01-23,
E0063,100063,C04,2024-01-18,Complete,,
E0129,100124,C07,2024-08-28,COMPLETED,,
E0212,100198,C12,2026-04-04,Active,,
E0176,100167,C10,08/18/2025,Completed,,
E0071,100071,C04,2024-01-26,Completed,,
E0179,100169,C10,2025-09-05,COMPLETED,,
E0065,100065,C04,2024-01-29,Completed,,
E0045,100045,C03,2023-12-27,Completed,,
E0151,100142,C08,2025-01-22,Withdrawn,2025-01-17,Academic difficulty
E0041,100041,C02,2023-09-04,completed,,
E0124,100119,C07,2024-08-25,Completed,,
E0024,100024,C02,08/27/2023,Completed,,
E0174,100165,C10,08/22/2025,Completed,,
E0198,100186,C11,2025-08-30,Completed,,
E0082,100082,C05,2024-07-25,Completed,,
E0040,100040,C02,2023-09-06,COMPLETED,,
E0196,100184,C11,09/05/2025,Complete,,
E0048,100048,C03,01/04/2024,Completed,,
E0095,100095,C05,2024-07-28,Completed,,
E0177,100024,C10,08/29/2025,Completed,,
E0044,100044,C02,2023-09-02,COMPLETED,,
E0146,100024,C07,2024-08-30,Completed,,
E0160,100151,C09,2025-06-07,W,07/06/2025,Moved / left area
E0004,100004,C01,2023-08-28,completed,,
E0106,100104,C06,2024-08-25,Withdrawn,2024-08-20,Schedule conflict
E0054,100054,C03,12/28/2023,Withdrawn,2024-05-03,Work or family obligations
E0134,100034,C07,22-Aug-2024,COMPLETED,,
E0213,100199,C12,04/03/2026,Active,,
E0194,100182,C11,2025-08-18,Completed,,
E0218,100204,C12,2026-04-03,Active,,
E0050,100050,C03,24-Dec-2023,Completed,,
E0164,100155,C09,2025-06-05,Completed,,
E0081,100081,C04,01/26/2024,Completed,,
E0035,100035,C02,2023-09-06,Completed,,
E0008,100008,C01,2023-09-05,Completed,,
E0111,100108,C06,2024-08-26,Completed,,
E0092,100092,C05,2024-07-28,Completed,,
E0084,100084,C05,08/09/2024,Completed,,
E0209,100195,C12,2026-04-02,Active,,
E0214,100200,C12,2026-03-30,Active,,
E0090,100090,C05,2024-07-30,Completed,,
E0009,100009,C01,2023-08-24,completed,,
E0014,100014,C01,02-Sep-2023,COMPLETED,,
E0060,100060,C03,2024-01-02,Complete,,
E0201,100189,C11,08/28/2025,Completed,,
E0132,100126,C07,2024-09-03,completed,,
E0018,100018,C01,2023-08-27,Complete,,
E0167,100158,C10,2025-08-20,Withdrawn,2026-03-02,Transportation
E0073,100073,C04,24-Jan-2024,Completed,,
E0206,100116,C11,08/22/2025,Completed,,
E0135,100128,C07,2024-08-26,Completed,,
E0191,100179,C11,08/29/2025,Withdrawn,2026-03-16,Academic difficulty
E0216,100202,C12,2026-04-02,Active,,
E0064,100064,C04,2024-01-28,Completed,,
E0055,100055,C03,2024-01-01,completed,,
E0108,100105,C06,2024-09-03,Completed,,
E0051,100051,C03,2023-12-20,Completed,,
E0194,100182,C11,2025-08-18,Completed,,
E0175,100166,C10,2025-08-26,Completed,,
E0195,100183,C11,2025-09-01,Completed,,
E0190,100178,C11,08/18/2025,Completed,,
E0067,100067,C04,01/16/2024,Completed,,
E0207,100193,C11,2025-08-25,Completed,,
E0170,100161,C10,2025-09-05,Completed,,
E0059,100059,C03,12/24/2023,Complete,,
E0049,100049,C03,2023-12-22,COMPLETED,,
E0089,100089,C05,2024-08-08,Completed,,
E0022,100022,C01,2023-08-26,Completed,,
E0058,100058,C03,2024-01-02,Withdrawn,2024-04-23,Found employment
E0204,100191,C11,2025-08-24,Completed,,
E0161,100152,C09,2025-06-03,Completed,,
E0228,100214,C12,2026-04-05,Active,,
E0188,100176,C11,2025-08-29,Completed,,
E0192,100180,C11,2025-09-01,Completed,,
E0130,100125,C07,2024-08-30,Completed,,
E0038,100038,C02,2023-08-31,Withdrawn,2024-04-11,Moved / left area
E0158,100149,C09,12-Jun-2025,COMPLETED,,
E0221,100207,C12,2026-04-05,Active,,
E0002,100002,C01,2023-09-08,Completed,,
E0053,100053,C03,2023-12-26,Withdrawn,,Found employment
E0150,100141,C08,2025-01-13,Completed,,
E0131,100029,C07,08/21/2024,Withdrawn,,Moved / left area
E0152,100143,C08,2025-01-31,Withdrawn,,Lost interest
E0104,100103,C06,09/03/2024,Completed,,
E0100,100100,C06,2024-08-22,Completed,,
E0117,100113,C06,2024-08-31,Completed,,
E0088,100088,C05,2024-08-03,Withdrawn,2024-11-16,Lost interest
E0203,100121,C11,2025-08-25,Completed,,
E0075,100075,C04,2024-01-27,COMPLETED,,
E0215,100201,C12,2026-04-13,Active,,
E0211,100197,C12,04/03/2026,ACTIVE,,
E0122,100118,C06,2024-08-24,Completed,,
E0016,100016,C01,2023-09-02,Completed,,
E0021,100021,C01,2023-09-02,Completed,,
E0189,100177,C11,2025-09-02,Completed,,
E0072,100072,C04,01/19/2024,COMPLETED,,
E0107,100040,C06,2024-09-01,Completed,,
E0015,100015,C01,09/03/2023,Completed,,
E0093,100093,C05,2024-07-28,Completed,,
E0180,100038,C10,2025-08-23,Completed,,
E0103,100102,C06,2024-08-27,COMPLETED,,
