attendance_id,enrollment_id,session_date,status
A006385,E0092,2024-09-05,Present
A013745,E0211,2026-07-20,Present
A006897,E0097,12/04/2024,
A015213,E0228,2026-09-15,Present
A000100,E0002,12/12/2023,Present
A005408,E0080,2024-03-07,P
A013807,E0212,2026-06-03,Present
A009697,E0138,2024-10-01,Present
A010704,E0167,2025-11-13,Present
A003117,E0043,2024-03-28,Present
A009227,E0130,2025-05-29,PRESENT
A001625,E0023,2024-01-02,P
A003380,E0046,05/07/2024,Present
A003486,E0048,2024-03-11,Present
A002685,E0037,2024-04-02,Present
A013731,E0211,2026-06-24,Present
A012205,E0190,01/20/2026,Present
A009310,E0132,2025-04-22,Present
A010024,E0142,2025-02-18,excused
A010951,E0171,2026-02-03,P
A002547,E0035,2024-05-16,P
A004329,E0057,06/18/2024,Present
A000512,E0008,2023-09-12,Present
A002237,E0031,2024-02-13,Present
A011792,E0184,2026-03-26,Present
A005708,E0084,2024-10-29,Present
A006876,E0097,2024-10-22,Present
A012398,E0193,2026-01-22,Present
A003858,E0052,2024-01-22,Present
A015010,E0226,2026-07-08,Present
A008710,E0123,2025-03-13,Present
A004673,E0061,05/22/2024,Present
A013063,E0202,2026-03-24,Present
A000048,E0001,03/07/2024,Present
A007110,E0099,2025-02-03,Present
A011430,E0178,2026-04-09,Present
A007590,E0107,2024-10-29,Present
A006347,E0091,2024-12-18,Present
A002496,E0035,2023-11-02,Present
A011570,E0180,2026-03-26,Present
A002520,E0035,2024-02-08,Present
A009320,E0132,2025-05-27,Present
A012958,E0201,2025-11-06,Present
A010580,E0163,2025-07-10,Present
A005181,E0074,2024-04-02,Present
A011990,E0187,2026-01-22,Present
A003866,E0052,2024-02-05,Present
A002089,E0029,02/20/2024,Present
A010697,E0167,2025-10-21,Excused
A009024,E0128,2024-10-17,Present
A004030,E0054,2024-04-18,Present
A008194,E0116,2024-09-26,Present
A012456,E0194,2025-11-13,Present
A009268,E0132,2024-10-31,Present
A005278,E0076,06/11/2024,PRESENT
A003422,E0047,2024-01-22,present
A003015,E0042,2023-12-19,Present
A003185,E0044,2024-03-05,PRESENT
A012226,E0190,2026-04-02,Present
A010112,E0143,2025-04-10,Present
A005658,E0083,01/30/2025,Tardy
A006455,E0092,2025-01-27,Present
A002407,E0034,2023-09-14,
A008726,E0123,2025-05-15,Present
A008588,E0121,2025-01-23,Absent
A013456,E0208,2025-10-16,P
A010610,E0165,07/08/2025,Present
A011414,E0178,2026-02-12,P
A013070,E0202,04/23/2026,Tardy
A003845,E0051,06/26/2024,Present
A004230,E0056,2024-06-19,Present
A001120,E0016,2024-03-12,Present
A007153,E0100,2025-02-11,Present
A008494,E0120,2024-10-24,Present
A004338,E0057,2024-07-03,Present
A014402,E0219,2026-04-28,Present
A002320,E0032,2024-05-09,Present
A004348,E0058,2024-01-23,Present
A004769,E0063,2024-06-04,Present
A005573,E0083,2024-08-15,Present
A007599,E0107,2024-12-05,Present
A010909,E0170,2026-05-26,Present
A004005,E0054,2024-02-29,Present
A004049,E0055,2024-01-24,PRESENT
A011721,E0183,2026-03-31,Present
A012492,E0194,2026-04-09,Present
A007855,E0111,2024-11-12,Present
A015074,E0227,2026-06-17,Present
A005070,E0071,2024-04-25,Present
A006885,E0097,2024-11-06,Present
A000885,E0013,02/06/2024,Present
A012551,E0195,2026-02-24,Present
A005184,E0074,04/11/2024,Present
A007473,E0104,2025-05-27,Present
A014965,E0226,2026-04-21,Present
A008725,E0123,2025-05-13,Present
A008030,E0113,2025-05-01,Present
A008399,E0118,2025-05-15,Present
A012926,E0200,2026-04-23,P
A010051,E0142,2025-05-29,Present
A003435,E0047,2024-02-13,Excused
A008075,E0114,2025-01-16,Present
A007924,E0112,2024-10-29,Present
A006087,E0088,11/11/2024,Absent
A005240,E0075,2024-06-13,Present
A001845,E0026,12/07/2023,Present
A010165,E0144,2025-01-30,Present
A008198,E0116,2024-10-10,Excused
A004088,E0055,2024-04-02,P
A007601,E0107,2024-12-12,PRESENT
A003222,E0045,2024-01-22,Present
A014570,E0220,2026-09-15,Present
A003464,E0048,2024-01-31,Present
A001581,E0022,04/23/2024,Tardy
A007485,E0105,10/01/2024,Present
A008970,E0127,2025-01-09,Present
A002656,E0037,2023-12-14,Present
A002933,E0041,2023-11-16,Present
A011509,E0179,2026-05-12,Present
A010977,E0171,2026-05-12,Present
A004129,E0055,06/18/2024,Present
A002088,E0029,2024-02-15,Present
A013914,E0213,07/07/2026,Present
A002405,E0033,2024-06-13,Present
A007904,E0111,2025-05-27,Present
A000150,E0002,2024-06-13,Present
A010386,E0149,2025-02-12,Present
A010803,E0169,2025-09-16,Present
A005744,E0084,2025-01-20,present
A014952,E0225,08/31/2026,Present
A000477,E0007,2024-02-13,Present
A010037,E0142,2025-04-03,present
A010876,E0170,2026-01-22,Tardy
A011841,E0185,2026-01-06,Present
A007884,E0111,2025-03-11,Present
A012752,E0198,2025-12-18,Present
A009322,E0132,2025-06-03,Present
A002026,E0028,2024-04-02,Present
A006854,E0097,2024-09-12,Present
A010523,E0160,2025-06-18,Present
A001714,E0024,2024-02-20,Present
A007729,E0109,2024-10-03,Present
A000170,E0003,11/16/2023,Present
A010252,E0145,2025-03-20,Present
A007563,E0106,10/17/2024,Present
A012321,E0192,2026-01-06,Present
A001122,E0016,2024-03-19,Present
A011944,E0186,2026-04-30,Present
A013150,E0203,2026-05-21,Present
A001963,E0027,2024-05-16,Present
A013698,E0211,04/28/2026,
A004297,E0057,04/23/2024,Present
A003548,E0048,2024-07-02,Present
A007526,E0105,2025-03-11,Present
A010009,E0142,2024-12-17,Present
A003708,E0050,2024-04-23,Present
A001721,E0024,2024-03-14,Present
A006546,E0093,2025-01-22,Present
A009217,E0130,2025-04-24,Present
A003195,E0044,2024-04-09,Present
A010476,E0156,2025-02-20,Present
A009594,E0136,2025-03-18,Present
A013553,E0209,2026-06-22,Present
A006505,E0093,2024-10-23,Present
A001748,E0025,2023-09-14,Present
A014779,E0223,06/10/2026,Present
A005047,E0070,2024-06-20,Present
A013797,E0212,2026-05-18,Present
A008230,E0116,02/18/2025,Present
A006452,E0092,2025-01-21,Present
A012620,E0196,02/12/2026,Present
A000352,E0005,2024-03-21,Present
A001035,E0015,2024-02-06,Present
A004330,E0057,2024-06-19,Present
A006700,E0095,2024-11-07,P
A011583,E0180,2026-05-19,Present
A006144,E0089,2024-11-12,Present
A003853,E0052,2024-01-11,Present
A005313,E0077,2024-05-28,PRESENT
A001303,E0019,2023-10-03,Present
A012600,E0196,2025-11-13,Present
A000829,E0012,2024-04-11,Present
A001954,E0027,2024-04-11,Tardy
A000931,E0014,2023-10-12,Present
A009607,E0136,2025-05-08,Present
A000904,E0013,2024-04-11,Excused
A009636,E0137,2024-11-12,Present
A002627,E0036,2024-06-04,Present
A003600,E0049,04/03/2024,Present
A005614,E0083,2024-10-28,Present
A008834,E0125,2024-12-17,Present
A012783,E0198,2026-04-28,PRESENT
A012357,E0192,2026-05-19,Present
A005993,E0087,2024-11-07,Present
A005195,E0074,2024-05-23,Present
A007406,E0104,2024-09-10,Present
A014145,E0216,2026-05-11,Present
A008359,E0118,2024-12-10,Present
A014923,E0225,07/09/2026,Present
A008019,E0113,2025-03-18,Present
A000863,E0013,2023-11-07,Present
A006481,E0093,2024-09-11,Present
A001731,E0024,2024-04-23,Absent
A014783,E0223,2026-06-17,Present
A008188,E0115,2025-06-12,Present
A008813,E0125,2024-09-26,present
A013356,E0206,2026-04-09,Present
A003837,E0051,2024-06-12,Present
A014295,E0217,08/26/2026,Tardy
A003388,E0046,2024-05-21,Present
A003880,E0052,2024-02-28,Present
A005370,E0079,2024-03-12,Present
A014270,E0217,2026-07-14,Present
A012071,E0188,2026-02-24,Present
A009148,E0129,2025-05-08,Present
A012774,E0198,2026-03-19,Present
A008250,E0116,2025-05-06,Present
A003820,E0051,05/14/2024,Present
A004537,E0060,2024-03-14,Present
A009949,E0141,2025-02-11,Present
A010429,E0153,2025-02-10,Present
A012000,E0187,2026-02-26,Present
A004295,E0057,04/18/2024,Present
A015205,E0228,2026-09-01,Present
A006307,E0091,2024-10-02,Present
A013787,E0212,2026-04-29,present
A007333,E0103,2024-09-10,Present
A011982,E0187,2025-12-11,Present
A006115,E0089,2024-09-23,Present
A010494,E0158,2025-06-24,Present
A010711,E0167,2025-12-16,present
A010805,E0169,2025-09-23,Present
A003214,E0045,01/08/2024,Excused
A010607,E0165,2025-07-02,PRESENT
A006736,E0095,2025-01-29,A
A014190,E0216,07/28/2026,present
A004521,E0060,2024-02-15,Present
A008279,E0117,2024-11-07,Present
A013096,E0203,2025-10-16,Present
A010616,E0166,09/18/2025,Present
A004036,E0054,2024-04-30,Absent
A002865,E0040,12/19/2023,Present
A009879,E0140,02/20/2025,Present
A001806,E0025,2024-04-23,Present
A002615,E0036,2024-04-23,Late
A014610,E0221,2026-06-23,Present
A002761,E0038,2024-04-04,absent
A005385,E0079,2024-05-07,Tardy
A008241,E0116,2025-03-27,Tardy
A003520,E0048,2024-05-14,Present
A006109,E0089,09/11/2024,Present
A010310,E0146,2025-01-28,Present
A002313,E0032,2024-04-11,Present
A013724,E0211,06/11/2026,Present
A009458,E0134,2025-04-29,Present
A004631,E0061,2024-03-05,Present
A014328,E0218,2026-05-21,Present
A011894,E0186,2025-10-09,Present
A009253,E0132,2024-09-10,Present
A009756,E0138,2025-05-20,Present
A006597,E0094,10/22/2024,Present
A009270,E0132,2024-11-07,Present
A015103,E0227,2026-08-06,Present
A012898,E0200,01/08/2026,Present
A010442,E0154,2025-02-04,Present
A006974,E0098,10/30/2024,Absent
A009435,E0134,2025-02-01,Present
A011002,E0172,2025-10-30,Present
A011348,E0177,2026-03-05,PRESENT
A006128,E0089,2024-10-15,Present
A014955,E0225,2026-09-03,Tardy
A002349,E0033,2023-11-14,Present
A009928,E0141,2024-11-12,Present
A001088,E0016,2023-11-07,Present
A002596,E0036,2024-02-13,PRESENT
A002502,E0035,2023-11-30,Present
A009017,E0128,2024-09-24,Present
A010045,E0142,2025-05-08,PRESENT
A007622,E0107,2025-03-06,Present
A010347,E0146,2025-06-12,Present
A004956,E0068,2024-05-07,Present
A001594,E0022,2024-06-06,PRESENT
A001023,E0015,12/19/2023,Present
A010507,E0159,06/18/2025,Present
A001494,E0021,03/07/2024,Present
A004903,E0067,2024-03-14,Present
A002681,E0037,2024-03-19,Present
A011374,E0177,2026-06-11,Absent
A004191,E0056,2024-04-08,Present
A005943,E0087,2024-08-13,Present
A000759,E0011,2024-05-02,Absent
A003300,E0045,2024-06-11,Present
A005108,E0072,2024-04-23,Present
A007403,E0103,2025-06-05,Present
A008248,E0116,2025-04-29,Present
A008704,E0123,2025-02-20,Present
A005816,E0085,2024-12-02,Present
A013484,E0208,2026-02-12,Present
A007641,E0107,2025-05-20,Absent
A011536,E0180,2025-11-06,Present
A004470,E0059,2024-05-16,Present
A001741,E0024,2024-05-28,Present
A012421,E0193,2026-04-21,Tardy
A014349,E0218,06/29/2026,Present
A000737,E0011,2024-02-13,Present
A007709,E0108,2025-05-01,Present
A003939,E0052,2024-06-17,Present
A001912,E0027,2023-11-02,Present
A005606,E0083,2024-10-14,Present
A005767,E0085,2024-08-29,Present
A003296,E0045,2024-06-04,Present
A001607,E0023,2023-10-17,Present
A000294,E0004,2024-05-23,Present
A005636,E0083,2024-12-11,present
A007349,E0103,2024-11-05,present
A013179,E0204,2025-12-02,Present
A001740,E0024,2024-05-23,Present
A010135,E0144,2024-10-01,Present
A008780,E0124,2025-03-04,Present
A004465,E0059,2024-05-08,Present
A000488,E0007,2024-03-21,Present
A000291,E0004,2024-05-14,P
A006871,E0097,2024-10-14,Present
A011513,E0179,2026-05-26,Present
A009463,E0134,2025-05-15,Present
A000102,E0002,2023-12-19,Tardy
A011289,E0176,2026-04-28,present
A012731,E0198,09/30/2025,Present
A012516,E0195,2025-10-02,Present
A002003,E0028,2024-01-11,Present
A007529,E0105,2025-03-20,Present
A009948,E0141,2025-02-06,Present
A012866,E0199,2026-06-04,Abs
A008349,E0118,2024-10-29,Present
A004251,E0057,2024-01-29,Present
A000287,E0004,2024-04-30,Present
A008029,E0113,2025-04-29,Present
A009074,E0128,2025-05-06,Present
A009526,E0135,04/03/2025,Present
A000896,E0013,2024-03-14,Excused
A013788,E0212,2026-04-30,Present
A005915,E0086,2024-12-11,Present
A010331,E0146,2025-04-10,Present
A001007,E0015,2023-10-17,Tardy
A002272,E0032,2023-11-07,Present
A014010,E0214,2026-07-21,Present
A001663,E0023,2024-05-16,Present
A004808,E0064,2024-06-04,Present
A014479,E0219,2026-09-09,Present
A002944,E0041,2024-01-09,Present
A004399,E0059,01/09/2024,Tardy
A012649,E0196,2026-06-02,Present
A002146,E0030,2023-12-12,Present
A001985,E0028,10/26/2023,Present
A012427,E0193,2026-05-12,Present
A013849,E0212,2026-08-17,Present
A004314,E0057,2024-05-22,Present
A004182,E0056,2024-03-21,Present
A014712,E0222,2026-07-16,Present
A010822,E0169,2025-11-20,Present
A012851,E0199,2026-04-07,Excused
A012587,E0196,09/30/2025,Tardy
A001958,E0027,2024-04-30,Present
A013883,E0213,2026-05-13,P
A008324,E0117,2025-05-08,Present
A000358,E0005,2024-04-11,Present
A007803,E0110,2025-02-11,Present
A010931,E0171,2025-11-04,Present
A013927,E0213,2026-07-29,Present
A005827,E0085,12/19/2024,Present
A007262,E0102,2024-09-17,Excused
A003078,E0043,10/31/2023,Absent
A005175,E0074,2024-03-12,Present
A012418,E0193,2026-04-02,Present
A003470,E0048,2024-02-12,Tardy
A001087,E0016,2023-11-02,Present
A007827,E0110,2025-05-13,Tardy
A011070,E0173,2026-04-09,Present
A002233,E0031,2024-01-30,Present
A004203,E0056,05/02/2024,Present
A001936,E0027,2024-02-08,Excused
A007365,E0103,2025-01-16,Present
A009612,E0136,2025-05-27,Present
A006119,E0089,2024-09-30,Present
A005303,E0077,04/23/2024,Present
A003284,E0045,05/14/2024,Present
A010761,E0168,2026-01-20,Present
A010767,E0168,02/10/2026,Present
A001347,E0019,2024-03-19,Present
A007785,E0110,11/21/2024,Present
A010905,E0170,2026-05-12,Present
A005328,E0078,02/29/2024,Present
A008890,E0126,2024-12-05,Tardy
A007513,E0105,01/23/2025,Tardy
A011675,E0183,2025-09-30,PRESENT
A015201,E0228,2026-08-25,Present
A002086,E0029,2024-02-08,Present
A013093,E0203,2025-10-07,Present
A011392,E0178,11/06/2025,Present
A003979,E0054,2024-01-16,Present
A012367,E0193,2025-09-16,Present
A001011,E0015,2023-10-31,Present
A011649,E0182,2025-11-01,Present
A010375,E0148,2025-02-20,Present
A008628,E0122,2025-02-11,present
A002316,E0032,2024-04-25,Present
A006551,E0093,2025-01-30,Present
A004983,E0069,2024-03-21,Tardy
A004107,E0055,2024-05-09,Present
A013032,E0202,2025-11-13,Present
A014178,E0216,2026-07-07,Present
A006114,E0089,2024-09-19,Present
A006486,E0093,2024-09-19,Present
A003036,E0042,2024-03-07,Tardy
A014983,E0226,2026-05-21,Present
A011975,E0187,11/11/2025,Present
A006935,E0098,2024-08-22,Absent
A001062,E0015,2024-05-14,Present
A007052,E0099,2024-10-03,Tardy
A001476,E0021,01/04/2024,Present
A003572,E0049,02/14/2024,Present
A005513,E0082,2024-10-14,Present
A014490,E0220,2026-04-28,Present
A013506,E0208,2026-05-07,Excused
A008613,E0122,2024-12-10,Present
A015116,E0227,2026-08-31,Present
A000305,E0005,2023-09-26,Present
A002678,E0037,03/07/2024,Present
A008693,E0123,2025-01-14,Present
A007781,E0110,11/07/2024,Present
A014176,E0216,2026-07-02,Present
A009280,E0132,2024-12-21,present
A011092,E0174,2025-09-25,Present
A012279,E0191,2026-01-27,Absent
A011632,E0181,2026-02-19,Tardy
A006875,E0097,2024-10-21,Present
A006835,E0097,2024-08-12,Present
A011060,E0173,03/05/2026,T
A009057,E0128,02/27/2025,Present
A000477,E0007,2024-02-13,Present
A008618,E0122,01/07/2025,Tardy
A009187,E0130,2025-01-02,present
A002674,E0037,2024-02-22,Absent
A006293,E0091,2024-09-09,Present
A006292,E0091,2024-09-05,Present
A011989,E0187,2026-01-20,Present
A014685,E0222,2026-06-01,Present
A007901,E0111,2025-05-15,Present
A006663,E0095,2024-09-04,Present
A000903,E0013,2024-04-09,Present
A007654,E0108,2024-09-26,Present
A003882,E0052,2024-03-04,Present
A009846,E0140,10/10/2024,Present
A005501,E0082,2024-09-23,Tardy
A004640,E0061,2024-03-20,Present
A015013,E0226,2026-07-14,Present
A002907,E0040,2024-05-23,Present
A012651,E0196,2026-06-09,Present
A006282,E0091,2024-08-20,Present
A000765,E0011,2024-05-23,Present
A014506,E0220,2026-05-26,Present
A007150,E0100,2025-01-30,Present
A014168,E0216,2026-06-18,Present
A007697,E0108,2025-03-13,P
A013964,E0214,2026-04-30,Abs
A001715,E0024,02/22/2024,Absent
A001804,E0025,2024-04-11,Present
A009543,E0135,2025-06-10,Present
A011195,E0175,2026-02-03,Present
A006434,E0092,2024-12-09,Present
A003718,E0050,2024-05-09,Present
A002609,E0036,03/28/2024,Present
A010530,E0160,2025-07-01,Present
A004677,E0061,2024-05-29,Present
A002127,E0030,2023-09-28,Present
A002590,E0036,2024-01-23,Present
A001412,E0020,2024-02-13,Present
A002617,E0036,2024-04-30,Present
A003290,E0045,2024-05-23,Present
A013528,E0209,2026-05-07,Present
A014786,E0223,2026-06-23,Present
A008762,E0124,2024-12-19,Present
A009189,E0130,2025-01-09,Present
A009955,E0141,2025-03-04,Present
A002082,E0029,2024-01-25,Present
A001924,E0027,2023-12-21,Tardy
A005359,E0078,06/20/2024,Present
A000933,E0014,2023-10-19,Tardy
A007039,E0099,2024-09-11,Tardy
A004615,E0061,2024-02-06,Present
A006751,E0096,2024-08-27,Present
A006093,E0089,2024-08-14,Present
A009626,E0137,2024-10-08,Present
A004163,E0056,2024-02-19,Present
A014343,E0218,2026-06-17,Present
A002120,E0029,2024-06-11,Present
A013493,E0208,2026-03-17,present
A012599,E0196,2025-11-11,Present
A007347,E0103,2024-10-29,Present
A015157,E0228,06/09/2026,Present
A007744,E0109,2024-12-03,Present
A003489,E0048,2024-03-14,PRESENT
A006741,E0095,2025-02-06,Present
A003394,E0046,2024-05-30,Present
A002586,E0036,2024-01-09,Present
A007204,E0101,2024-11-07,PRESENT
A010781,E0168,2026-03-31,Present
A003088,E0043,2023-12-12,Present
A007429,E0104,2024-12-05,Present
A002922,E0041,2023-10-10,Present
A007255,E0101,2025-05-29,Absent
A004875,E0066,2024-04-25,Present
A001922,E0027,2023-12-14,Present
A000926,E0014,2023-09-26,Present
A012119,E0189,2025-11-11,Present
A007920,E0112,2024-10-15,Present
A009365,E0133,2025-02-11,Present
A012101,E0189,2025-09-09,Present
A011352,E0177,2026-03-19,Present
A006845,E0097,2024-08-28,Present
A000169,E0003,2023-11-14,Present
A005757,E0085,2024-08-13,PRESENT
A008262,E0117,09/10/2024,Present
A003480,E0048,2024-02-28,present
A010057,E0143,09/12/2024,Present
A007895,E0111,2025-04-24,Present
A005565,E0082,01/30/2025,Present
A003316,E0046,2024-01-10,Present
A000435,E0006,2024-04-23,Excused
A007521,E0105,2025-02-20,Present
A006088,E0088,2024-11-12,Present
A009390,E0133,2025-05-15,Tardy
A009211,E0130,2025-03-27,Present
